	Fungcbhif	GH31	nifH	nirK	nirS	phoD	Urease	Invertase	NAG	ACP	Glucosidase
R-12-1	956868.7621	3724462.837	20839195.98	90875371.51	745249010.8	324811263.6	262.4251887	4.890819301	38.50450272	18.15379406	9.668918919
R-13-1	2140459.531	10938744.21	26746411.48	124268730.1	899807745.1	773423419.1	192.781802	28.69897959	26.39412485	17.19581948	7.767391304
R-14-1	1301203.823	4260645.479	24349714.29	73686748.88	453077799.3	355864177.5	222.8742744	12.69152038	48.09038697	18.58266223	16.56081081
R-15-1	1631269.272	24233260.72	61418518.52	72404973.69	5034603630	1094520573	314.520832	90.70583647	46.99807147	13.30987544	11.76483051
R-16-1	253794.92	2708127.121	412056.1798	17982071.28	150542723	135798279.6	182.9422077	37.31605402	21.38790698	16.86251389	14.00223214
R-17-1	674831.9851	2515718.948	34170000	103133276.4	1118665694	576389865.8	171.3379164	15.76939381	32.83678838	3.418893481	15.0804878
R-18-1	1103737.469	3349183.682	20934782.61	77829157.31	263710027.6	147410699	202.7395543	10.90978447	47.78475336	19.24437203	15.4575
R-19-1	609542.8771	1393975.69	4125312.5	34955597.63	250029249.9	316960903.1	216.1732322	24.86198127	28.21395349	17.31451024	8.935714286
R-20-1	1153352.765	11982080.37	18032863.85	162730543.5	2665045820	2112163603	363.7752666	53.09766764	23.95325925	9.551267992	10.23134328
R-21-1	598949.3808	2053284.824	2944000	83714137.68	989201187.3	242696645.3	111.5014312	8.212590172	19.53986711	17.62178588	6.37012987
R-22-1	287808.4692	653150.587	16441312.74	116382193.2	501998270.9	2293482294	579.8855061	106.1940566	58.52627412	19.60514544	15.15671642
R-23-1	1000859.363	5173307.213	14684071.86	84934104.43	1463716864	705294067.2	453.8834173	32.38715682	44.43761375	7.479377551	18.96025105
R-24-1	1053444.176	3641342.958	5137621.145	54118315.98	1653225410	896236962.1	363.5381012	64.28571429	36.91619131	12.69754793	11.53004292
R-25-1	668021.2136	3543181.2	23553896.1	53003437.87	1459994531	569012492.6	479.3008866	88.12376564	28.77101968	11.8956303	14.51408451
