Group	CMRA	CMTB
Bacteria	-0.15345841	1.703760658
Bacteria	-0.095728955	1.779167217
Bacteria	-0.076035911	1.801889672
Bacteria	-0.075435521	1.84148072
Bacteria	-0.111231037	1.749879166
Bacteria	-0.1133131	1.724820963
Bacteria	-0.137445513	1.737742746
Bacteria	-0.124798828	1.778850158
Bacteria	-0.142029498	1.765082908
Bacteria	-0.129433368	1.714468743
Bacteria	-0.169136991	1.734938125
Bacteria	-0.105740308	1.703245582
Bacteria	-0.14240088	1.610590699
Bacteria	-0.090847686	1.686363502
Bacteria	-0.093063831	1.739926315
Bacteria	-0.091933802	1.725208647
Bacteria	-0.090802197	1.709053572
Bacteria	-0.11760154	1.602560156
Bacteria	-0.085890013	1.696299791
Bacteria	-0.085895061	1.722968645
Bacteria	-0.090061788	1.692109404
Bacteria	-0.161939107	1.592383828
Bacteria	-0.101270872	1.69268766
Bacteria	-0.113925469	1.644737805
Bacteria	-0.116185749	1.675268242
Bacteria	-0.091984592	1.727699224
Bacteria	-0.084992553	1.713301798
Bacteria	-0.092319997	1.678098805
Bacteria	-0.093167388	1.684826523
Bacteria	-0.089529331	1.726233599
Bacteria	-0.091921584	1.707129235
Bacteria	-0.167399557	1.637346328
Bacteria	-0.177279018	1.655684624
Bacteria	-0.103692371	1.687522996
Bacteria	-0.118925946	1.669543331
Bacteria	-0.110018158	1.701781574
Bacteria	-0.12956858	1.686262962
Bacteria	-0.105191914	1.720137619
Bacteria	-0.108723987	1.70424772
Bacteria	-0.111168457	1.692672293
Bacteria	-0.083670896	1.739287537
Bacteria	-0.08666613	1.751147558
Bacteria	-0.075586675	1.760589709
Bacteria	-0.085745591	1.744558081
Bacteria	-0.099373613	1.722342234
Bacteria	-0.079108239	1.758351686
Fungi	-0.158411071	1.958977237
Fungi	-0.163641593	1.871705028
Fungi	-0.167275035	1.778847151
Fungi	-0.145188955	1.851126298
Fungi	-0.155663884	1.851622645
Fungi	-0.109064129	2.045731034
Fungi	-0.108003129	1.984092979
Fungi	-0.103286645	1.97778496
Fungi	-0.101710723	1.962884542
Fungi	-0.103267121	1.948754817
Fungi	-0.080937964	1.669138536
Fungi	-0.089752358	1.624823679
Fungi	-0.101999937	1.577822852
Fungi	-0.095177943	1.631294039
Fungi	-0.089799945	1.684429069
Fungi	-0.157153759	1.504227206
Fungi	-0.147404206	1.52042427
Fungi	-0.144368008	1.630353578
Fungi	-0.134897351	1.580948964
Fungi	-0.147192668	1.512294825
Fungi	-0.121732066	1.753884582
Fungi	-0.121992577	1.794357197
Fungi	-0.112966837	1.717083912
Fungi	-0.119626212	1.758854759
Fungi	-0.109791168	1.803325933
Fungi	-0.144257826	1.60270375
Fungi	-0.151881508	1.623487677
Fungi	-0.143125245	1.537652425
Fungi	-0.147424581	1.547420566
Fungi	-0.114088359	1.270625163
Fungi	-0.107478215	1.782178189
Fungi	-0.104912835	1.847689145
Fungi	-0.099330893	1.745446363
Fungi	-0.1080065	1.69445118
Fungi	-0.10661838	1.834142003
Fungi	-0.107603336	1.954805975
Fungi	-0.111039661	2.009104866
Fungi	-0.104707008	1.842094707
Fungi	-0.083185289	1.836855716
Fungi	-0.098065424	1.900215646
Fungi	-0.124304104	1.98941212
Fungi	-0.12137201	1.863590886
Fungi	-0.110616671	1.834482996
Fungi	-0.105053311	1.812599407
Fungi	-0.128894652	1.824993024
Fungi	-0.13616123	2.054778123
Fungi	-0.118096395	2.078319738
Fungi	-0.137887331	2.227623048
Fungi	-0.134626233	2.021586304
Fungi	-0.148518318	2.062289261
Fungi	-0.045153039	1.969197121
Fungi	-0.05347747	2.088031666
